Bold Text,Description
a or an before H?,"Use an before a silent H: an heir, an hour, an honest politician, an honorary consul; use a before an aspirated H: a hero, a hotel, a historian (but don’t change a direct quote if the speaker says, for example, “an historic”). With abbreviations, be guided by pronunciation: eg an LSE student"
A*,(A-level and GCSE) not A-star
A&E,"accident and emergency; in the US, it’s ER (emergency room)"
abattoir,
"Abbas, Mahmoud",president of the Palestinian Authority
abbeys,"take initial cap, eg Westminster Abbey"
Abbottabad,city in Pakistan where Osama bin Laden lived and died
abbreviations and acronyms,"Do not use full points in abbreviations, or spaces between initials, including those in proper names: IMF, mph, eg, 4am, M&S, No 10, AN Wilson, WH Smith, etc.Use all capitals if an abbreviation is pronounced as the individual letters (an initialism): BBC, CEO, US, VAT, etc; if it is an acronym (pronounced as a word) spell out with initial capital, eg Nasa, Nato, Unicef, unless it can be considered to have entered the language as an everyday word, such as awol, laser and, more recently, asbo, pin number and sim card. Note that pdf and plc are lowercase.If an abbreviation or acronym is to be used more than once in a piece, put it in brackets at first mention: so Association of Chief Police Officers (Acpo), seasonal affective disorder (Sad); alternatively, use the abbreviation with a brief description, eg the conservation charity the RSPB. Remember that our international online readership will not necessarily be aware of even well-known UK abbreviations. If an organisation is mentioned only once, it is not necessary to give its abbreviation or acronym.Cap up single letters in such expressions as C-list, F-word, “the word assassin contains four Ss”, etc"
"Abd el-Fattah, Alaa",British-Egyptian democracy activist jailed in Egypt
abdicate,"renounce high office abnegate renounce privileges, deny oneself abrogate repeal, abolish arrogate take or claim (something) for oneself without justification"
abjure,renounce adjure urge
Aboriginal Australians,"should be identified by their country or language groups at first mention if known, eg a Wiradjuri-Yorta Yorta man, a Noongar-Badimaya woman – or take your cue from how they identify themselves. The term “Aborigine” is outdated and offensive; Aboriginal should only be used as an adjective. Indigenous Australians is an umbrella term that covers both Aboriginal people from the Australian mainland and Torres Strait Islanders"
abortion,"Use  pro-choice ,   not pro-abortion; and use  anti-abortion , not pro-life.  Anti-choice can be used when talking about opposition to all reproductive rights, including abortion, birth control, family planning etc.In reference to US legislation,  six-week abortion ban  is preferable to foetal heartbeat bill, unless quoting someone talking about the “heartbeat bill”"
abscess,
absorb,but absorption
"Abu Akleh, Shireen",a journalist for Al Jazeera who was shot and killed in the West Bank
abuse,"see individual entries on  child sexual abuse ,  domestic abuse/family abuse  and sexual abuse"
abysmal,
abyss,
Academy Awards,"or  Oscars individual awards are lowercase, eg best actor award, Oscar for best pictureAfter first mention, abbreviate the Academy of Motion Picture Arts and Sciences to the Academy"
a cappella,"Italian for “in the style of the church”, ie unaccompanied singing"
Acas,"the Advisory, Conciliation and Arbitration Service, at first mention; thereafter just Acas"
accents,"include the accents and other diacritics, where possible, on words written in Latin- script languages such as French, German, Portuguese, Polish, Spanish, Turkish, Irish and Welsh, especially the names of people and places. But do not use them in anglicised words and names such as cafe, smorgasbord and Zurich (exceptions to this are exposé, lamé, résumé, roué). For a list of anglicised placenames we use, see foreign placenames"
Accenture,formerly Andersen Consulting; the new name was devised by an employee from “accent on the future”
access,has been known as contact since the 1989 Children Act
accession council,at which a new king or queen is formally proclaimed
accident,Take care in using this term in relation to traffic incidents; crash or collision may be better if the full circumstances are not known
"accommodate, accommodation",
accordion,not accordian
"achilles heel, achilles tendon",
acknowledgment,not acknowledgement
acres,"Use hectares, with acres in brackets, rounded up or down, eg the field measured 25 hectares (62 acres).You multiply hectares by 2.47 to convert to acres, or acres by 0.4 to convert to hectares"
acronyms,See  Abbreviations and acronyms
act,"uppercase when using the full name, eg Criminal Justice Act 1998, Official Secrets Act; but lowercase on second reference, eg “the act”, and when speaking in more general terms, eg “we need a radical freedom of information act”; bills remain lowercase until passed into law"
actor,"Use for both male and female actors; do not use actress except when in the name of an award, eg Oscar for best actress. The Guardian’s view is that actress comes into the same category as authoress, comedienne, manageress, “lady doctor”, “male nurse” and similar obsolete terms that date from a time when professions were largely the preserve of one sex (usually men). As Whoopi Goldberg put it in an interview with the paper: “An actress can only play a woman. I’m an actor – I can play anything.”There is normally no need to differentiate between the sexes – and if there is, the words male and female are perfectly adequate: Lady Gaga won a Brit in 2010 for best international female artist, not artiste, chanteuse, or songstress.As always, use common sense: a piece about the late film director Carlo Ponti was edited to say that in his early career he was “already a man with a good eye for pretty actors ...” As the readers’ editor pointed out in the subsequent clarification: “This was one of those occasions when the word ‘actresses’ might have been used”"
"AD, BC","AD goes before the date (AD64), BC goes after (300BC); both go after the century, eg second century AD, fourth century BC"
adaptation,not adaption
adapter,someone who adapts; adaptor plug
"adblocker, adblocking",
addendum,"plural  addendumsLatinate -um neuter endings that are a part of the language (eg stadium) take an -s plural. Exceptions: bacteria, which retain the Latin plural and take a plural verb, as do media, but note that spiritualists are mediums"
addresses,"like this: 90 York Way, London N1 9GU"
Adidas,"initial cap, although adidas is lc in the company logo"
administration,"the Obama administration, etc"
"admissible, inadmissible",not -able
admit,Take care – as a reader put it when we referred to Tory MPs who “admitted” being gay: “Admit in modern English is almost exclusively used when conceding or confessing something negative and/or of which one is or should be ashamed. Please be more careful. Language can offend.” Quite.The former Washington Post editor Ben Bradlee urged reporters not to “hide their biases and emotions behind subtly pejorative words” such as admit
ad nauseam,not ad nauseum
adoption,"Mention that children are adopted only when relevant to the story: a reader points out that “explicitly calling attention to adoptions in this way suggests that adoptionis not as good, and not as real a relationship, as having a child normally”. So say biological father, biological family rather than “real father”, “real family”, etc"
Adrenalin,TM; a brand of adrenaline
adrenaline,"hormone that increases heart rate and blood pressure, extracted from animals or synthesised for medical uses"
advance bookings,rather than “advanced bookings”. Or you could just say “bookings”
Advent calendar,
adverse,unfavourable;  averse  reluctant “He was averse to crossing the Irish Sea in such adverse conditions”
adviser,not advisor
Advisory Committee on Business Appointments (Acoba),
advocate,member of the Scottish bar (not a barrister)
aeroplane,in UK;  airplane  in US;  plane  works well anywhere
affect/effect,exhortations in the style guide had no effect (noun) on the number of mistakes; the level of mistakes was not affected (verb) by exhortations in the style guide; we hope to effect (verb) a change in this
affidavit,"a written declaration made on oath, so “sworn affidavit” is tautologous"
affinity,"with or between, not to or for"
Afghans,the people of Afghanistan
afghani,the currency of Afghanistan
aficionado,plural aficionados
Africa,"is a continent made up of more than 50 countries. When writing about people from those countries be sure to locate them precisely in their town, city, country etc. Avoid simply saying they are African or from Africa"
African American,
African-Caribbean,not Afro-Caribbean
Afrikaans,language
Afrikaner,person
Afrikander,cattle breed
afro,hairstyle
Afrobeat or Afrobeats?,"These are distinct music genres which often get mixed up. The first was pioneered by Fela Kuti in the 1960s and is a mix of west African musical styles, such as fuji music and highlife, with American funk and jazz; the second is a style of danceable 21st-century west African pop. The term “Afrobeats” has come to be used too widely and reductively in the media and it is preferable to refer to contemporary African artists’ particular genre (pop, dance music, etc)"
"afterlife, aftermath",
ageing,
ages,"Kamala Harris, 56 (not “aged 56”); Freddie Bawden Marsh, nine.a 62-year-old man; a 62-year-old; 62 years old.the woman was in her 20s (but twentysomething, thirtysomething, etc)Be clear when referring to age groups, such as the over-80s or under-16s, as sometimes these groupings don’t include the people who are actually 80 or 16; if the group does include them, a formulation such as 80 or over, or 16 and above can be clearer for readers. In headlines it is OK to use the shorter description when necessary"
agenda,"plural in origin, but singular in use: “agendum” is simply not on anyone’s agenda"
Age UK,charity formed by the merger of Age Concern and Help the Aged in 2009
aggravate,"Using this word to mean annoy, rather than make worse, really aggravates some people. Good. Both meanings have been around for more than 400 years, and there is no good reason why both should not be acceptable now .She only wanted to threaten him and aggravate him ... Wilkie Collins, The Woman in White (1860)"
AggregateIQ,
aggro,"abbreviation of aggravation, and spelt thus despite the once popular terrace chant “A, G, A-G-R, A-G-R-O: agro!”"
AGM,
a-ha,"band from Norway;  A-ha!  Alan Partridge catchphrase, quoting Abba’s Knowing Me, Knowing You"
ahead of,"overused, and often jars (“Why else would they hurriedly concoct their own ‘Confucius peace prize’, a day ahead of the ceremony in Oslo?” appeared in a leading article); before (which should have been used in this case) or in advance of are among the alternatives.The Press Association reported: “Hundreds gathered outside Lichfield Cathedral to witness the arrival of a horse-drawn carriage ahead of Stephen’s body ahead of his funeral”"
aide-de-camp,plural aides-de-camp (aide is a noun)
aide-memoire,plural aide-memoires (aide is a verb)
Aids,"acquired immune deficiency syndrome, but normally no need to spell out.Do not use such terms as “Aids victims” or someone “suffering from Aids”, language that in the words of one reader is “crass, inaccurate and reinforces stigma”, implying helplessness and inviting pity; “people with Aids” or “living with Aids” are preferable.Do not use the term “full-blown Aids”. Unesco guidelines state: “This term implies that there are varying stages of Aids ... People have Aids only when they present with an Aids-defining illness”"
"airbase, aircraft, aircrew, airdrop, airfield, airlift, airmail, airshow, airspace,","airstrike, airstrip, airtime"
"air fare, air force, air raid",
aircraft carrier,
aircraft designations,"usually with hyphens after initials, eg B-52, MiG-23"
