Bold Text,Description
b,bit or binary digit
B,"byte, usually made up of 8 bits See  byte"
BAA,formerly the British Airports Authority
Ba’ath party,it means renaissance or resurrection
Bab al-Mandab,"a strait between Yemen on the Arabian side and Djibouti and Eritrea on the African side, linking the Red Sea to the Gulf of Aden"
Babybel,cheese
baby Bells,US regional telephone companies formed after the breakup of AT&T in 1984
baby boomer,"people born   in the period between the end of the second world war and the mid- 1960s when there were increases in the number of births, particularly in the western world. The generation that preceded them, between about 1928 and 1945 are sometimes called the  silent generation"
Babygro,TM; a generic alternative is  babygrow
Baby P,"Peter Connelly, who died in Haringey in 2007, was known as Baby P or Baby Peter"
"babysit, babysitter","the noun “baby-sitter” came first (in 1937), and the verb “to baby-sit” was derived from it a decade later, an interesting example of back-formation"
baccalaureate,"abbreviation bac, but the new English baccalaureate is abbreviated to Ebacc"
bacchanalia,"originally wild festivals dedicated to the god Bacchus; now drunken revelry as found in most British towns on a Saturday night, lowercase with singular verb: the bacchanalia is likely to continue until we all pass out"
"Bacharach, Burt","US songwriter, born 1928"
bachelor,"now has a slightly old-fashioned ring to it, so probably better to say (if relevant) unmarried man; “confirmed bachelor” should definitely be avoided, as should “bachelor girl” (unless writing about swinging 60s movies)"
backbench,"newspaper or politics;  backbenches ,  backbenchers"
"back catalogue, back yard",
backdoor ,a digital encryption term for a way of bypassing normal authentication in a product
back door,the rear entrance to a house
back-scratching,
"backstory, backstreet",
bacteria,"plural of  bacterium , so don’t write “the bacteria is”; even more important, don’t confuse with  viruses"
Bad Sex awards,
BAE Systems,formerly British Aerospace
Bafta,British Academy of Film and Television Arts
bagel,not baigel or beigel
Baghdad,
Bahá’í faith,
bailout,noun
bail out,"a prisoner, a company or person in financial difficulty; but  bale out  a boat or from an aircraft"
baked alaska,
baker’s dozen,13
bakewell tart,
balk,"obstruct, pull up, stop short;  baulk  area of a snooker table"
Balkanisation,
"ballboy, ballgirl, ballgame, ballgown, ballpark",
ballerina,"a ballerina dances leading roles; otherwise, she is a ballet dancer"
"ballot, balloted",
Balochistan,"not Baluchistan or Baluchestan for the largest province of Pakistan. Baloch is the adjective for general use, but also refers to a specific ethnic group, so be wary of applying it to people; Balochi is a language"
BAME,"black, Asian and minority ethnic; spelled out in full at first mention, but where possible it is always preferable to be more specific and to avoid using BAME infurniture. Other alternatives are person/people of colour, or minority ethnic people. However, when using an alternative always check that it doesn’t change the accuracy of the story, eg the term minority ethnic in its broadest sense includes white people, such as Travellers and Gypsies, so if a story citing BAME research is actually only about people of colour, use of the term minority ethnic would be incorrect. Likewise, avoid using people of colour when the BAME research in question may include minority ethnic white people. (See also  black .)"
Band-Aid,"TM; say plaster or sticking plaster; in the US, it’s a bandage"
B&B,abbreviation for bed and breakfast
band names,"lc the: the Beatles, the Killers, the The; but uc equivalents in other languages, eg Les Négresses Vertes, Los Lobos. Bands that do not take the definite article (although they are often erroneously given it) include Arctic Monkeys, Pet Shop Boys and Ramones; for most bands, this can be easily checked online.Bands take a plural verb: Snow Patrol are overrated, Iron Butterfly were the loudest band of the 60s, etc.Try to include diacritical marks if bands use them in their name, no matter how absurd: Maxïmo Park, Mötley Crüe, Motörhead, etc; for a comprehensive list see the excellent “ metal umlaut” entry on Wikipedia"
