Bold Text,Description
cabby,"not cabbie, but the plural is  cabbies"
"cabin attendant, crew, staff",not air hostesses
"cabinet, shadow cabinet",but  Cabinet Office
cack-handed,remember this   has also been used as an offensive term for left-handed. You could just say “clumsy”
caddie,tee;  caddy  tea
Cádiz,
Caernarfon,place;  Lord Carnarvon  person (he lives at Highclere Castle in West Berkshire)
caesarean section,Julius Caesar is not thought to have been born by C-section (because his mother survived his birth)
caesar salad,attributed to the restaurateur Caesar Cardini
Caesars Palace,hotel and casino in Las Vegas; this one really is named after Julius Caesar
Cafcass,Children and Family Court Advisory and Support Service
cafe,no accent
Calais refugee camp,"instead of the “Jungle”. While the “Jungle” is recognised as the camp’s name, it is a derogatory term so its use should be limited"
Calcutta,now  Kolkata
calf leather,but  calf’s liver
Californian,"a person; the adjective is California, which is why Brian Wilson did not write a song called Californian Girls; the same rule applies to other US states, so a “Texan drilling for Texas tea” is an oilman"
call girl,"like “vice girl”, an old-fashioned term encountered only in the tabloids, where it is always the 1950s"
callous,"adjective, meaning hardened, metaphorically or literally;  callus  (plural calluses) noun, meaning hard area of skin.The correct word to use to mean “covered in calluses” is in fact calloused, from the medical verb, to callous; although callused is often seen"
Calor,TM
Cambodian names,"Normally, family name is followed by given name, eg Lim Samnang on first mention, thereafter Lim"
"Cambridge Union Society, Durham Union Society, Oxford Union","are debating societies, not to be confused with Cambridge University students’union, Durham students’ union, or Oxford University student union"
cameraphone,
Camilla,"Queen Camilla or the queen, or Camilla on subsequent mentions"
Campaign for Better Transport,formerly Transport 2000
Campari,TM
"can not, cannot",are not the same: note the difference between “you can not eat if you don’t want to” and “you cannot eat porridge with a knife”
Canal+,"French TV channel, formerly Canal Plus"
canal boats,"A narrowboat is the popular type of British canal boat, 7ft wide and up to 72ft long – do not call it a barge; a wider version (typically 10-14ft wide) is a broadbeam narrowboat. A barge is a broader (10-14ft wide) cargo-carrying boat – normally towed but sometimes self-powered. The version with accommodation is usually a Dutch barge. A cruiser is the white-hulled GRP (glass-reinforced plastic) style of boat, more commonly seen on rivers; smaller versions are cabin cruisers.The difference between narrowboat and barge is important, particularly if you don’t want to get stuck in a narrow lock somewhere outside Birmingham"
Canary Wharf,"the whole development, not the main tower, which is 1 Canada Square"
Cancún,city in Mexico
cannabis,"people smoke cannabis rather than “experiment” with it, despite what politicians and young members of the royal family might claim"
canon,"cleric, decree, principle, body of writings, type of music;  cannon  something you fire (plural: cannon, not cannons)"
Canute,"(c994-1035) Danish king of England, Denmark and Norway who commanded the tide to turn back, so the legend says – not in a vain attempt to exercise power over nature, but to prove to his toadying courtiers that he was not all-powerful"
canvas,"tent, painting"
canvass,solicit votes
CAP,common agricultural policy
capitals,"“I am a poet: I distrust anything that starts with a capital letter and ends with a full stop” (Antjie Krog)Times have changed since the days of medieval manuscripts with elaborate hand- illuminated capital letters, or Victorian documents in which not just proper names, but virtually all nouns, were given initial caps (a Tradition valiantly maintained to this day by Estate Agents).A look through newspaper archives would show greater use of capitals the further back you went. The tendency towards lowercase, which in part reflects a less formal, less deferential society, has been accelerated by the explosion of the internet: some web companies, and many email users, have dispensed with capitals altogether.Our style reflects these developments. We aim for coherence and consistency, but not at the expense of clarity. As with any aspect of style, it is impossible to be wholly consistent – there are almost always exceptions, so if you are unsure check for an individual entry in this guide. But here are the main principles:"
jobs,Guardian.
titles,"president, Barack Obama, and Obama on subsequent mention); the Duke of Westminster (the duke at second mention); Pope Francis but the pope."
government departments in English-speaking countries,"Initial capitals when full name is used, eg Home Office, Foreign Office, Ministry of Justice (UK), Department of Defense, Department of Homeland Security (US), Department of Immigration and Border Protection (Australia), Fisheries and Oceans Canada, Department of Communications, Energy and Natural Resources (Irish Republic), Ministry of Railways (India). Lowercase when abbreviated or paraphrased, eg justice ministry, defense department, Australia’s immigration department, Canadian fisheries ministry, Indian railway ministry, etc. Lowercase for translations of government departments in non-English-speaking countries, eg French foreign ministry, Russian ministry of emergency situations, etc."
"government agencies, public bodies, quangos",
acts of parliament,"Service, Equality and Human Rights Commission, Heritage Lottery Fund, Parole Board, Revenue and Customs."
airports,"2010, local government bill."
artistic and cultural,"Gatwick (no need for “airport”), Liverpool John Lennon airport."
bridges,"National Gallery, Royal Albert Hall, Tate Modern. Books, films, music, works of art, etc have initial caps except a, an, and, at, for, from, in, of, on, the, to (except in initial positions or after a colon), eg There Is a Light That Never Goes Out."
"churches, hospitals and schools",
geographical features,"Nicolas church, Newbury; Great Ormond Street children’s hospital; Ripon grammar school, Vernon county primary school."
geological epochs and archaeological periods,Solsbury hill (but Mount Everest).
"parliamentary committees, reports and inquiries ","Mesolithic, Palaeolithic."
proposed party policies,"committee, royal commission on long-term care for the elderly, Jenkins report."
stadiums ,"confusion, eg national education service, “green new deal” etc"
universities and colleges of further and higher education,"Stadium, but leave out whenever possible eg at Wembley, at Old Trafford."
words and phrases,"departments, eg Sheffield University department of medieval and modern history, Oregon State University, Free University of Berlin, University of Queensland school of journalism, London College of Communication."
cappuccino,"origins (alsatian dog, cardigan, cheddar cheese, french windows, swiss roll, wellington boots, yorkshire pudding and many others) are lc.Those that retain a strong link, which may be legally recognised, include Cornish pasty, Melton Mowbray pork pies, Parma ham, Jersey Royal potatoes and Worcestershire sauce, and take initial cap.Although champagne and scotch are legally required to come from Champagne and Scotland, they are almost universally regarded as lc"
captions,
"car bomb, car park","Captions are an opportunity to give readers further information, rather than insulting their intelligence by stating the obvious.A photograph illustrating an election in Croatia, say, may show a woman pushing a pram past a hoarding covered with candidates’ posters. The caption tells us: ‘A woman pushes a pram past a hoarding covered with election posters in Zagreb,’ whereas it might say: ‘Polls indicate that women’s votes will be a deciding factor in the Croatian election.’Please avoid cliches such as ‘sharing a joke’ and ‘in happier times’.There is no need to put (left) after one of the names in a caption showing, say, Nelson Mandela and Mother Teresa or William Hague and Angelina Jolie.(Alt text, in contrast to a caption, should be a simple written description of what can be seen in a photo, illustration or graphic, so it can be read by screen readers.)"
carcass,but carmaker
cardiac arrest,plural carcasses
cards,"when the heart stops beating unexpectedly, as opposed to a heart attack, when blood flow to the heart is blocked"
careen,"scratchcard, smartcard, swipecard  but  credit card, debit card, sim card"
"career girl, career woman","to sway or keel over to one side; often confused with  career , to rush along"
care home,We don’t use these sexist labels
carer,rather than “old people’s home”
Caribbean,"an unpaid family member, partner or friend who helps a disabled or frail person with daily living activities; do not use this term to describe a care worker, homecare worker or someone in a caring profession"
Carlos the Jackal,
carmaker,real name Ilich Ramírez Sánchez
cartel,
Carter-Ruck,It is dangerous to call a group of companies a cartel unless you want to hear from ...
Casanova,"You might think that, given this law firm’s close relationship with newspapers, everyone would know that it’s hyphenated. You would, sadly, be wrong"
