Bold Text,Description
dachshund,
Dad or dad?,"capital D if it’s just Dad, eg “I’ll have to ask Dad”; otherwise lowercase, eg “my dad was a dustman, what does your dad do?” etc"
"dadaism, dadaist",
"Dagalo, Mohamed Hamdan","Sudanese military leader, also known as Hemedti"
Dáil Éireann,"lower house of parliament in the Republic of Ireland, normally just the Dáil"
DaimlerChrysler,
Dakar,capital of Senegal;  Dhaka  capital of Bangladesh
dal,not dhal
Dalai Lama,no abbreviation: he is always the Dalai Lama
Dalek,"takes initial cap, whether used literally (as in referring to Doctor Who), or figuratively (as in describing, say, your boss)"
"Dalí, Salvador",(1904-89) Spanish surrealist
dancefloor,one word (thanks to Arctic Monkeys for this one)
dangling participles,"(also known as hanging participles)Avoid constructions such as “having died, they buried him”; the pitfalls are nicely highlighted in Mark Lawson’s novel Going Out Live, in which a TV critic writes: “Dreary, repetitive and well past the sell-by date, I switched off the new series of Fleming Faces.”Another example, from a leading article: “Due out in January as a white paper, Ms Kelly may be unable to overcome Mr Blair’s apparent determination to stick with A- levels.”And this particularly exotic dangling participle somehow found its way into the paper: “Though long-legged and possessing a lovely smile, gentleman journalists aren’t looking up her skirt and wouldn’t even if she weren’t gay”"
danish pastry,
Dar es Salaam,
dark ages,
darknet,
dashcam,
dashes,"A single dash can add a touch of drama – like this. But use sparingly.A pair of dashes are an alternative to commas or brackets for parenthesis when you want to draw the reader’s attention to something surprising or unusual. An example from the paper of how not to do it: “Many neighbours in the block – which sits close to the banks of the Thames – were visibly shaken.” The block’s innocuous location does not need underlining with dashes. Commas would suffice.Beware sentences – such as this one – that dash about all over the place – commas (or even, very occasionally, brackets) are often better; semicolons also have their uses.Dashes should be en dashes rather than em dashes or hyphens"
data,"takes a singular verb (like agenda), though strictly a plural; you come across datum, the singular of data, about as often as you hear about an agendum"
"datacentre, dataset",
dates,"Our style is: 21 July 2016 (day month year; no commas).21 July-6 August, 6-10 August, etc.In the 21st century but 21st-century boy; fourth century BC; AD2007, 2500BC, 10,000BC.Use figures for decades: the 1960s, the swinging 60s, etc.Should you have occasion to say 2016 out loud, for example in a podcast, pronounce it “twenty sixteen”, not “two thousand and sixteen”"
"daughter of, son of","Think twice before referring to people in these terms. Often only the person’s father is described and such descriptions can smack of snobbery as well as sexism.Simplistic labels may also be misleading: we published a clarification after calling Captain James Cook the son of a Scottish farm labourer. True enough, but Cook’s mother was a Yorkshire woman and he is a famous son of Yorkshire"
"Davison, Emily",suffragette who died four days after stepping in front of George V’s horse at the 1913 Derby
"daybreak, daydream",
DayGlo,TM; but note the X-Ray Spex hit The Day the World Turned Day-Glo
Day Kundi,province in Afghanistan
"daylong, daytime","but  month-long ,  year-long ,  night-time"
day trip,"two words, eg Day Trip to Bangor by (trivia question) ... Fiddler’s Dram"
“day zero”,"not Day Zero, in relation to water crises in Cape Town and elsewhere"
D-day,"6 June 1944, or used figuratively (“Monday is D-day for the Blades’ promotion hopes”)"
"Dbeibah,",prime minister of Libya’s Tripoli-based government
deaf ears,"Avoid or say “closed ears”; the phrase is not just a rather lazy cliche but offensive to many deaf people. For the same reason, do not use “dialogue of the deaf”: most deaf people are perfectly capable of conducting a dialogue using BSL and other sign languages. The term “deaf mute” is also outdated and offensive; “deaf”, where relevant, will suffice.Note that a hearing aid is not a “deaf aid” (although we contrived to use the phrase in a crossword in August 2012)"
deathbed,but  death row
debacle,"no accents; like farce and fiasco, to be used sparingly in news reporting"
debatable,
debate,"In British English, if you debate Boris Johnson he is the subject of the discussion; you would debate  with  Boris Johnson if he were your opponent"
"Deben, Lord","Deben at second mention. If you are referring to things he did in the years before his peerage, for example while environment secretary, it is helpful to also point out his name is John Gummer"
decades,"1950s, etc; use figures if you abbreviate: roaring 20s, swinging 60s, a woman in her 70s, the first reader’s email of the 00s (pronounced, unfortunately, “noughties”)"
deceptively,"ambiguous (in one survey, half the respondents thought “deceptively easy” meant easy, and half thought it meant hard), and therefore best avoided – advice unlikely to be heeded, sadly, by estate agents"
decimate,"nowadays used to mean destroy (yes, we know it originally meant to kill one in 10) See Latin"
