Bold Text,Description
"Fàbregas, Cesc","a Catalan, not Spanish, name; note the accent"
facade,no cedilla
Facebook,no need to call it “the social networking site” every time – we know what it is
facelift,
factchecker,
factoid,"not a trivial fact, but a mistaken assumption repeated so often that it is believed to be true (a word coined by Norman Mailer, who defined it as “something that everyone knows is true, except it ain’t!”)"
FA Cup,the Cup (the cap C is hallowed by convention); all other cups lc at second mention
fahrenheit,"use in brackets, without degree symbol, after celsius figure, eg 37C (98.6F); to convert, multiply the celsius temperature by 1.8, then add 32; alternatively, double the celsius figure, subtract one-tenth of that figure, and add 32; or you could save yourself the bother by using a conversion website"
Fáilte Ireland,Ireland’s tourism authority
Fairtrade,"The Fairtrade mark is a certification system run by the Fairtrade Foundation; products are entitled to be called Fairtrade (cap F) if they meet the following criteria: a price that covers producers’ costs, a premium for producers to invest in their communities, and long-term and more direct trading relations; fair trade refers to the movement as a whole, eg only fair trade will enable farmers in developing countries to become self-sufficient"
fairytale,noun and adjective; but fairy story
faith schools,may be called religious schools without fear of divine retribution
“Fake Sheikh”,
falafel,
fallopian tubes,
fallout,
Falluja,
false-flag operation,
families,"word favoured by politicians to make them sound caring and concerned (“hard- working families”), which doesn’t mean we have to do so, as in this 2010 Guardian splash headline: “Families face nuclear tax on power bills”.As a reader pointed out: “So don’t older people, single people, etc, face the same tax? ... the implicit attitude [is] that those not part of families are of secondary significance.” Quite"
family-size,"not family-sized, fun-sized"
famous,"If something’s famous, you don’t need to tell people; if you need to tell people something’s famous, it isn’t.“Famously” is typically used to mean one of two things:I know everyone knows this, but I can’t think of an original way to start so I am going to say it anyway. Harold Macmillan, asked what the biggest challenge is for any leader, famously replied: “Events, my dear boy, events.”You don’t know this? I do. That shows I am clever and know lots of stuff you don’t. Reich famously declined to continue in academia, preferring to support himself via a series of blue-collar jobs.From a reader: “Please can you rein in the many writers who insist on dropping the word famously into their copy ... as in famously overused, famously redundant or famously not really famous at all.”A preferable alternative to “famously” is “memorably”, which at least suggests that you remember it, rather than assuming that everyone does or should"
"fanbase, fanbelt, fanclub, fanmail",
Faragists,"if you describe Ukip supporters in this way (not Farageists, even though they are followers of Nigel Farage)"
far away,"adverb;  faraway  adjective: she moved to a faraway place, and now lives far away"
"Farc, the",it stands for the Revolutionary Armed Forces of Colombia; note the definite article
far east,but  east Asia  or  south-east Asia  is preferable
farm worker,not farm labourer
Faroe Islands,or just  Faroes
farrago,a hotchpotch or jumbled mixture; not synonymous with fiasco (a humiliating failure)
Farsi,language spoken by the majority of Iranians (not Persian)
farther or further?,"farther and farthest are the comparative and superlative of far as in distance (eg farther away, the farthest point north): “a few miles farther, and we will reach the farthest point”.further and furthest are the comparative and superlative of far as in degree (eg further discussion, the candidate furthest to the left)"
fascism,"not facism, facist, careless but common errors"
fashion,"collections should be spelled out with slashes (spring/summer 2014 or autumn/winter 2013) everywhere except captions and web furniture, where SS14 and AW13 are acceptable if necessary.companies are singular: Temperley has presented full-length silk gowns; Dolce & Gabbana is hiring a new chief financial officer, etc.fashion weeks like this: London fashion week, Milan fashion week, etc"
fast track,noun;  fast-track  verb
fatal,deadly;  fateful  momentous “The fateful game arrived. It was to prove fatal for Wednesday’s hopes of promotion”
fatality,"a fatality is worse than death, and like most euphemisms best avoided"
fat cats,"should be used sparingly, even if writing about overweight moggies"
father of two,etc (no hyphens); only describe people in this way if relevant
Father’s Day,
fatwa,"an edict, not necessarily a death sentence"
fayre,a fete worse than death
fazed,"overwhelmed;  phased  stage “Everything seemed to faze him, but it was just a phase”"
FBI,Federal Bureau of Investigation; no need to spell out
FDA,what the former First Division Association now calls itself; you will need to say it is the senior civil servants’ union or no one will know who you are talking about; note that FDA also stands for the US food and drug administration
fedayeen,"Arab fighters (the word means those who risk their lives for a cause); can be capped up when referring to a specific force, eg the Saddam Fedayeen militia, which fought coalition forces in the 2003 Iraq war"
Federal Reserve,"at first reference,  the Fed  thereafter"
fed up with,not fed up of
feelgood factor,
fellow,"lc, eg a fellow of All Souls, fellow artist, fellow members, etc (and do not hyphenate)"
female,"not “woman” or “women” in such phrases as female home secretary, female voters"
female genital mutilation,not “female circumcision”
ferment or foment?,"You ferment alcohol, but foment unrest"
"Fernández de Kirchner, Cristina","former president of Argentina, previously first lady and later vice-president. Cristina Fernández de Kirchner on first mention, Fernández de Kirchner thereafter. Her husband and predecessor as president, Néstor Kirchner, died in 2010"
ferris wheel,"no need for a cap F, although the first was built by George Washington Gale Ferris Jr for the World’s Fair in Chicago in 1893"
festivals,"lc, whether artistic or sporting: Cannes film festival, Cheltenham festival, Edinburgh festival fringe, London jazz festival, etc"
fete,no accent
fetid,not foetid
fewer or less?,"fewer means smaller in number, eg fewer coins; less means smaller in quantity, eg less money"
Ffestiniog,
fiance,"male,  fiancee  female; but note divorcee is both male and female"
Fianna Fáil,Irish political party
fiasco,"like debacle and farce, overused in news stories: who says it’s a fiasco?"
fibula,"lower leg bone, plural fibulas; also Latin for brooch or clasp, plural fibulae"
field marshal,"but with initial capitals when used as a title, for example Field Marshal John Smith"
Fifth Republic,
50/50,
figures,"Spell out from one to nine; numerals from 10 to 999,999; thereafter 1m, 3.2bn (except for people and animals, eg 2 billion viewers, 8 million cattle); spell out ordinals from first to ninth, thereafter 10th, 31st, etc"
filesharing,
fillip,not filip
"filmgoer, film-maker, film star",
Filofax,TM; use personal organiser unless you are sure
finalise,"avoid; use  complete ,  completed  or  finish ,  finished"
“final solution”,
Financial Conduct Authority,FCA on second mention
financial years,"2011-12, etc"
Fine Gael,Irish political party
fine-tooth comb,
Finnegans Wake,
fire-and-rehire,"when used as a noun or adjective, as in “he is opposed to fire-and-rehire” or “a fire- and-rehire scheme”. No need for the hyphens if they are being used as verbs as in: “There is a dispute over whether companies should be allowed to fire and rehire workers.”"
fire brigade,"lc, eg Cheshire fire brigade"
firebomb,
firefight,do not use to describe a military skirmish
firefighter,not fireman
firewall,
firing line,"the people who do the firing; if they are aiming at you, you are  in the line of fire  not in the firing line"
firm,"strictly a partnership without limited liability, such as solicitors or accountants, but may be used in place of company in headlines"
first,"rather than firstly, secondly, thirdly, etc; spell out up to ninth, then 10th, 21st, millionth"
first aid,
first floor,"In the UK, the first floor you come to when you go upstairs is the first floor (the clue is in the name); the second floor is the one above that"
first-hand,
first home buyers,but homebuyers
first lady/first gentleman,"only used to refer to the spouses of heads of state. In monarchies such as the UK, thehead of state is the queen or king, so the spouse of the prime minister is not the first gentleman/lady. If a writer wishes to use the term as shorthand for the spouse of a prime minister, quote marks can be used to indicate it is not an official title, eg Carrie Johnson becomes the UK’s “first lady”."
first minister,"(Scottish parliament, Welsh assembly, Northern Ireland assembly)"
"first name, forename, given name","not Christian name.Use one on first mention, but not subsequently, except for people under 18.Avoid just initials, unless that is how a person is known – TS Eliot, DBC Pierre, etc.In stories about more than one member of a family, for example where two brothers appear in a court case, first names can be used to distinguish between them.Occasionally, using first names in features or interviews will strike the most appropriate tone"
"first world war, second world war",but  world war three
fish populations,preferable to fish stocks
fisher/fishers,rather than fisherman/fishermen or fisherwoman/fisherwomen. But fisherman’s jumper
fission or fusion?,"In nuclear fission, the nucleus of an atom splits to produce two smaller elements often releasing free subatomic particles and energy.In nuclear fusion, two or more atomic nuclei come together and combine. In the process some of their mass is converted into large amounts of energy. Fusion is the reaction that powers the sun"
fit,avoid using this term to describe a seizure
fit for purpose,cliche that quickly proved itself unfit for the purpose of good writing
fit the bill,not fill the bill
fixed-penalty notice,
f,"rather than fiord. A sea inlet surrounded by high cliffs, particularly in Norway"
FKA twigs,Abbreviate to “twigs” on second mention
flagship,"a flagship is a ship, a “flagship store” would be a store where one bought flagships, and a “flagship local authority” is a cliche"
flak,not flack
flammable,"rather than inflammable (although, curiously, they mean the same thing); the negative is non-flammable"
flash memory,"computer memory that can be erased and reprogrammed, used for example in mobile phones, digital cameras and MP3 players"
flashing,best avoided as a description of a sexual offence. It sounds as if you are making light of the incident. It is better to call it indecent exposure or say someone exposed themselves
flashmob,
"flatmate, flatshare",
Flat racing,
“flatscreen TV”,"All TVs nowadays are flatscreen, so the adjective is unnecessary"
flaunt or flout?,"to flaunt is to make a display of something, as in flaunting wealth; to flout is to show disregard for something, as in flouting the seatbelt law.Think of Max Bialystock in The   Producers   admiring a white Rolls-Royce in the street: “That’s it, baby, when you’ve got it, flaunt it, flaunt it!” Then think of Bialystock and Bloom, his partner, flouting the law – as well as the principles of good taste – by staging Springtime for Hitler"
fledgling,not fledgeling
flexitime,
flip-flops,
f,"but rainwater, wastewater; also,  flood plain, flood plains"
floor,"Normally indoors, apart from in expressions such as forest floor and ocean floor. If, say, a policeman knocks you over, you fall on to the ground, not the floor, although you might say you have been floored.In the UK, the ground floor is at street level and the first floor is one level up"
Florence + the Machine,not “and” or “&”
flotation,"whether in a tank, or on the stock market"
flotsam,The former is cargo or wreckage found floating in the sea; the latter (originally a variant of jettison) is stuff that has been thrown overboard. Used together to mean odds and ends
flounder or founder?,"to flounder is to perform a task badly, like someone stuck in mud; to founder is to fail: a business might be foundering because its bosses are floundering"
flu,
fluky,not flukey
flyer,not flier
flying squad,
flypast,noun
fo’c’sle,"abbreviation of forecastle, and a surviving entry from the 1928 “Style-book of the Manchester Guardian”"
focus,
foetus,not fetus
"fogey, fogeys",not fogy or fogies
"Fogg, Phileas",not Phineas
folklore,
following,"after is preferable, eg Wednesday went to pieces after their latest relegation"
follow-up,noun;  follow up  verb
font,"receptacle for baptism, digital file (originally a foundry) that contains a typeface; fount  of all knowledge and wisdom"
food bank,
foodie,
foolproof,
foot-and-mouth disease,
footie,"abbreviation for football, but note that in Australia (particularly Victoria), footy is what they call Australian rules football"
for all its worth,"but  for what it’s worth The former means for all (of) its worth (of is implied), as in for all (of) its value; the latter is a contraction of for all it is worth"
forbear,refrain;  forebear  ancestor: “I forbear from blaming my forebears for my family’s lack of ambition”
foreign accents,"Use accents on French, German, Portuguese, Spanish and Irish Gaelic words – and, if at all possible, on people’s names in any language, eg Sven-Göran Eriksson (Swedish), Béla Bartók (Hungarian). This may be tricky in the case of some languages but we have had complaints from readers that it is disrespectful to foreign readers to, in effect, misspell their names"
