Bold Text,Description
G7,"Canada, France, Germany, Italy, Japan, the United Kingdom and the United States"
"Gaddafi, Muammar",former Libyan leader rather than president (he held no government office and was generally known in Libya as “leader of the revolution”); Gaddafi on second mention
Gaelic,"when referring to the Scottish language, but use Irish and Welsh for the native languages of those countries"
gaff,"hook or spar, also slang for house;  blow the gaff  give away a secret"
gaffe,blunder
gaffer tape,
Galápagos,
Gallagher,Oasis brothers (Noel and Liam)
Gallaher,cigarette company
gallery,"takes an initial cap when it forms part of the name of the gallery, eg National Gallery, Leeds Art Gallery, Saatchi Gallery, but lowercase otherwise, eg the White Cube gallery"
"Gambia, the",not Gambia
gambit,an opening strategy that involves some sacrifice or concession; so to talk of an opening gambit is tautologous - an opening ploy might be better
Game Boy,
"gamechanger, gamechanging",
"gameplan, gameshow",
Gandhi,not Ghandi
gang-rape,
"García Lorca, Federico",(1898-1936) Spanish writer
"García Márquez, Gabriel",Colombian novelist
Garda Síochána,Irish police force; garda (plural gardaí) police officer
garotte,not garrotte or garrote
garryowen,up-and-under (rugby union)
Garryowen,Irish rugby club that gave the garryowen its name
gases,"plural of gas, but the verb is gasses"
gatecrash,
Gategate,"The hapless quintet who broke into Democratic headquarters at the Watergate building in Washington DC in 1972 can have had no idea of the forces they were unleashing – forces that in due course led to the resignation of President Richard Nixon, and began a proud tradition of inane journalism that shows no sign of diminishing 40 years later.Examples range from the mildly droll – Gatecrashergate, Henry Gatesgate (also known as Stupidgate) – to the utterly feeble (Sexy Photo Gate).Among numerous other instances are Bertiegate, Betsygate, Billygate, Camillagate (not to be confused with Dianagate, also known as Squidgygate), Cheriegate, Closetgate, Contragate, Fajitagate, Flakegate, at least two Grannygates, Hobnobgate, Irangate, Iraqgate, Irisgate (it is compulsory for stories about this to be headlined “And here’s to you, Mrs Robinson... “), Katrinagate, Koreagate, Monicagate, at least two cases of Nannygate, Nipplegate, Partygate, Smeargate, various Strippergates, Toiletgate, three different outbreaks of Troopergate, and Whitewatergate.Sporting gates include Beachballgate, Bloodgate, Buttongate, Chicanegate, Crashgate, Handgate/Henrygate/Thierrygate, Liargate, Pizzagate, Tevezgate and, of course, Tigergate.Occasionally, as with Climategate or Plebgate, such an ephithet may be useful as a way to pull together a lot of material on the same subject, but most gates are lazy and more likely to put readers off than engage them"
Gatt,general agreement on tariffs and trade
"Gaudí, Antoni",(1852-1926) Catalan architect
