Bold Text,Description
Häagen-Dazs,"American ice-cream; despite appearances, the name was made up to give a European cachet to a product emanating from the Bronx in New York City"
Haaretz,Israeli newspaper; no longer has an apostrophe
Haarlem,the Netherlands;  Harlem  New York City
habeas corpus,
Haberdashers’ Aske’s school,
Habsburg,not Hapsburg
haemorrhaging,"is best avoided, even if you manage to spell it correctly, as it has become a cliche – inexpressions such as “haemorrhaging cash” – and completely wrong as an adjective meaning big, eg “in the face of haemorrhaging financial losses”"
haemorrhoids,
"Hague, The",always cap up the The
ha ha,laughter;  ha-ha  concealed ditch in a garden or park;  Minnehaha  Hiawatha’s wife in the Longfellow poem The Song of Hiawatha
hail,"fellow, well met;  hale  and hearty"
"hairbrush, haircut, hairdresser, hairdryer, hairstyle",all one word
Haiti,is not an island: Haiti and Dominican Republic make up the Caribbean island of Hispaniola
hajj,pilgrimage to Mecca;  haji  Muslim who has made such a pilgrimage
haka,"as performed by the New Zealand All Blacks rugby team, it is a welcome or challenge, rather than a Maori war dance (although routinely described as such)"
HAL 9000,computer in Stanley Kubrick’s 2001: A Space Odyssey
Hale-Bopp comet,its appearance in 1997 prompted mass suicide in the Heaven’s Gate cult
half,"No hyphen when used adverbially: you look half dead; half wine, half water; his trousers were at half mast (see exceptions below).Hyphen when used adjectivally: a half-eaten sandwich; a half-cut subeditor; half- time oranges.The boy is six and a half but a six-and-a-half-year-old boy"
"half a dozen, half past six",
half-life,(radioactivity)
half-term,known as mid-term in Scotland
half-time,
"halfway, halfwit",
hallelujah,
Hallé,"orchestra founded in Manchester by Karl Hallé in 1857, normally referred to as simply “the Hallé”"
Halley’s comet,
halloumi,
Halloween,no apostrophe
halo,plural haloes
Hambros,"former British bank, now SG Hambros Bank, the private banking division of Société Générale"
"Hamed, Prince Naseem",former boxer; Hamed at second mention
Hamilton Academical,not Academicals; nickname the Accies
Hamleys,toyshop
"handbill, handbook, handbuilt, handheld, handmade, handout",no hyphens
handicapped,should not be used to refer to people with disabilities or learning difficulties
hangar,aircraft;  hanger  clothes
"hanged, hung",the woman was found hanged; the sheet was hung out to dry
hanging participles,"An unfortunate example from a leading article in the paper: “Due out in January as a white paper, Ms Kelly may be unable to overcome Mr Blair’s apparent determination to stick with A-levels ... “"
"hangover, hungover",
Hanover,
Hanukah,
happy-clappy,
hara-kiri,avoid
"harass, harassment",known less vulgarly in Japan as  seppuku
hardcore,
hardline,"one word, whether noun or adjective and whether you are talking about music, rubble, a hardcore of rebels or hardcore pornography"
harebrained,"adjective,  hard line ,  hardliner  nouns"
hare lip,not hairbrained
Hargeisa,never use: say  cleft lip  or  cleft palate
Haringey,"not Hargeysa; capital of Somaliland, an autonomous region of Somalia"
"Hariri, Rafik","north London borough, one ward of which is  Harringay"
Harley-Davidson,"former prime minister of Lebanon, assassinated in Beirut in 2005"
HarperCollins,
Harper’s Bazaar,
Harpers Bizarre,"US fashion magazine marketed as Harper’s Bazaar UK in Britain, where it was known as Harpers & Queen from 1970 to 2006"
Harris tweed,"60s US harmony group and exponents of “cotton candy rock”, named after the magazine"
Harrods,
Hassidic,
hat-trick,
haven,
haver,"a haven is by definition a place of safety, so you really do not need to call it a “safe haven”"
Haverfordwest,"widely used to mean hesitate, but in some places (notably Scotland) means to talk nonsense"
"Havisham, Miss","in south-west Wales, not “Haverford West” as we managed to say"
Hawaiian,(not Haversham) in Dickens’ Great Expectations
Hawk-Eye,
Hay festival,(not Hawkeye) tracks the ball in cricket and tennis
hay fever,"the former  Guardian Hay festival , which takes place at Hay-on-Wye, is now sponsored by the Daily Telegraph"
Hayat Tahrir al-Sham (HTS),
hazard or risk?,Al-Qaida-linked group in Syria formerly known as al-Nusra Front
