Bold Text,Description
laager,South African encampment;  lager  beer
labour movement,
Labour party,
La Coruña,Spanish port
Lady Gaga,remains Lady Gaga on second and subsequent mentions
Lady Macbeth of Mtsensk,"Shostakovich opera, usually misspelt in the Guardian as Mtensk, with occasional variations such as Mtsenk"
Lady Thatcher,(and other ladies) not Baroness
lag,pipes are lagged; other things lag behind
LaGuardia,New York airport
Lai Ching-te,president of Taiwan. You can mention that he is sometimes also known as William Lai
laid-back,"He is laid-back, she is a laid-back boss"
Lailat al-Miraj,"Islamic holy day;  Lailat al-Qadr  Islamic holy day, time for study and prayer"
laissez-faire,not laisser
Lake District,"or  the Lakes  or  Lakeland . Note that, with the exception of Bassenthwaite Lake, bodies of water in the Lake District do not have “lake” in their names (eg Buttermere, Derwent Water, Ullswater, Windermere)"
lakes,"capital L: Lake Baikal, Lake Erie, etc"
"lamb’s lettuce, lamb’s wool",
lamp-post,
lance corporal,
Land,"state of the Federal German Republic: we normally call them states, eg “the German state of Hesse”"
landmark,"overused as an adjective, randomly strewn through stories, perhaps as an alternative to flagship"
landmine,
Land Registry,government department that registers title to land in England and Wales; the Scottish equivalent is Registers of Scotland
Land Rover,
Land’s End,but the clothing firm is Lands’ End
kd lang,Canadian singer
Laos,officially the Lao People’s Democratic Republic; the language is Lao
"lapdancer, lapdancing",
Lappland,"the northernmost province of Sweden. Finland has a county called Lapland. However, do not use the name to refer to the cultural region of the Indigenous Sami people, which extends across national boundaries and they call Sápmi. It is considered offensive. Please reserve the terms Lappland/Lapland to refer, where necessary, to those exact regions in Sweden and Finland and not to the wider area"
laptop,
La Rambla,preferable to Las Ramblas
Large Hadron Collider,Take great care over the spelling of Hadron
largesse,
larva,"(plural  larvae ) insects;  lava  volcanic magma, lamp;  laverbread  cooked seaweed"
"La’s, the",defunct Liverpool rock band; keep apostrophe (abbreviation for Lads)
lasagne,
laser,"word dating from 1960 formed from the phrase “light amplification by stimulated emission of radiation”, and an example of why not all acronyms need to be capped up"
lasso,noun (plural  lassos ) and verb: you lasso a horse with a lasso
last or past?,"interchangeable in such phrases as “six times in the last week”, “twice in the past year”.But last means “most recent” in this sentence: “United have beaten Wednesday five times in their last six meetings” whereas past refers to the past as a whole in this sentence: “United have beaten Wednesday five times in their past six meetings” (suggesting they have only ever played each other six times)"
Last Night of the Proms,
last post,
last rites,"are given, not “read” (although someone might read you your rights if you were being arrested)"
later,often redundant as context will inform the reader: “They will meet this month” rather than “They will meet later this month”
late-term abortion,"is a medically inaccurate term. Use  later abortion  or  second- or third-trimester abortion  instead, or put it in quote marks if quoting someone."
Sheikha Latifa bint Mohammed bin Rashid al-Maktoum,"if writing out in full, or Sheikha Latifa bint Mohammed al-Maktoum. Princess Latifa is sufficient in furniture and on first mention, followed by Latifa on subsequent mentions"
Latin,"“Away with him! Away with him! He speaks Latin” (Shakespeare, Henry VI Part 2)Some people object to, say, the use of “decimate” to mean destroy on the grounds that in ancient Rome it meant to kill every 10th man; some of them are also likely to complain about so-called split infinitives, a prejudice that goes back to 19th-century Latin teachers who argued that as you can’t split infinitives in Latin (they are one word) you shouldn’t separate “to” from the verb in English. Others might even get upset about our alleged misuse of grammatical “case” (including cases such as dative and genitive that no longer exist in English).As our publications are written in English, rather than Latin, do not worry about any of this even slightly"
Latino/Latina,"someone from Latin America. Latinx, a gender-neutral alternative, is not widely accepted and we should only use it if an individual or organisation prefers to identify themselves that way"
latitude,like this: 21 deg 14 min S
latter,"Use only in contrast with former. Saying an item is “the latter” of more than two things is not only annoying but wrong. In such cases, it should be “the last”"
launderette,but Stephen Frears’ 1985 film was My Beautiful Laundrette
Sergei Lavrov,not Sergey Lavrov is the Russian foreign minister
law lords,"formerly “lords of appeal in ordinary”, they became justices of the supreme court when it was established in 2009.They are referred to as Lord Sumption, Lady Hale etc (and not “Lord Justice” or “Lady Justice”, titles applied to court of appeal judges).Note that the former Lord Justice Leveson is now Sir Brian Leveson. He is president of the Queen’s Bench division of the high court"
lawsuit,
lay bare,"(revealed) past tense laid, not lay: so “almost a decade after the genome project lay bare ...” should have read “laid bare”"
layby,plural  laybys
layperson,avoid layman
lay off,"does not mean to sack or make redundant, but to send workers home on part pay because of a temporary lack of demand for their product"
lay waste,"a hurricane can lay waste an island, or lay an island waste, but it does not lay it to waste or lay waste to it (the word comes from the same root as devastate)"
lbw,leg before wicket
lc,abbreviation for lowercase
Lea or Lee?,the river Lea flows to the Thames; the Lee Navigation canal incorporates part of it; the Lee Valley park is the site for much of the 2012 Olympic development
leach or leech?,"leach (verb): percolate, remove with a percolating liquid leech (noun): a bloodsucking worm, or used figuratively to describe, say, bankers"
Lead Belly,"(1888-1949) US musician, real name Huddie Ledbetter"
leader of the house,or leader of the Commons
Learjet,
learned,"not learnt, unless you are writing old-fashioned poetry (he learned his tables, a message well learned, etc)"
learning disabilities,"rather than learning difficulties, unless referring to education"
least bad,"is the least bad option, rather than “least worst”"
"leave, leaver, leave campaign","for those in favour of the UK leaving the EU, note lower case; see remain"
Lebanon,no definite article
"le Carré, John",retain the lower case l on subsequent mentions
Le Corbusier,"Swiss-French architect (1887-1955), real name Charles-Édouard Jeanneret-Gris"
led or lead?,"In all but the present tense, the verb form is led. This does not stop otherwise normal, sensible people writing things like “he was lead to the slaughter” or “the singing will be lead by Cliff Richard”. If this is just a slip of the keyboard, it’s a frequent slip"
"the left, left wing, leftwinger, lefty, lefties, hard left, soft left, old left",nouns;  leftwing  adjective
"left field, left-field",two words as a noun: “this idea comes out of left field” hyphenated as an adjective: “a left-field idea”
