Bold Text,Description
"Nabokov, Vladimir",(1899-1977) Russian-born author of Lolita; not Nabakov
nailbomb,
"naive, naively, naivety",no accent
Nakba,the Palestinian “catastrophe”
Naked Rambler,real name Stephen Gough
names,"Prominent figures can just be named in stories, with their function at second mention: “Rishi Sunak said last night ...” (first mention); “the prime minister added ...” (subsequent mention).Where it is thought necessary to explain who someone is, write “Paul Heckingbottom, the Sheffield United manager, said …” or “the Sheffield United manager, Paul Heckingbottom, said”, etc.In such cases the commas around the name indicate there is only one person in the position, so write “the Labour leader, Keir Starmer, said” (only one person in the job), but “the former Labour leader Neil Kinnock said” (there have been many).Do not leave out the definite article in such constructions as “style guru David Marsh said ...” It should be “The style guru David Marsh” (if there are other style gurus) or “David Marsh, the style guru, ...” (if you feel only one person merits such a description)"
Arnon Nampa,Thai lawyer and activist
Nanjing,not Nanking
Napoleon Bonaparte,
narrowboat,"the popular type of British canal boat, 7ft wide and up to 70ft long – do not call it a barge. A wider version (typically 10-14ft wide) is a broadbeam narrowboat"
Nasa,"National Aeronautics and Space Administration, but no need to spell out"
"Nasrallah, Hassan",Hezbollah secretary general
nation,"should not be used to mean country or state, but reserved to describe people united by language, culture and history so as to form a distinct group within a larger territory.Beware of attributing the actions of a government or a military force to a national population (“the Israelis have killed 400 children during the intifada”). Official actions always have opponents within a population; if we don’t acknowledge this, we oversimplify the situation and shortchange the opponents"
national anthem,
National Archives,"the former Public Record Office, now merged with the Historical Manuscripts Commission"
National Association of Schoolmasters Union of Women Teachers,(NASUWT) call it “the union” after first mention if you want to avoid using these unlovely initials; note that an “and” seems to have gone missing somewhere
National Audit Office,NAO or audit office after first mention
national curriculum,
"National Endowment for Science, Technology and the Arts",Nesta after first mention
National Grid,transmits gas as well as electricity
National Health Service,"but  NHS  or  health service  is normally sufficient. NHS regions are uc with no hyphens eg NHS North West, NHS South East"
National Hunt,horse racing over fences and hurdles
National Institute for Health and Care Excellence,Nice after first mention
national insurance,lc; abbreviate national insurance contributions to NICs after first mention
nationalists,(Northern Ireland)
national living wage,"is the official name, but it is informally and widely known as the minimum wage and it is fine to call it that in most cases. Bear in mind, however, that young people (those under 23 or under 21 from April 2024) can be paid less than this. From school leaving age they must receive what is officially known as the national minimum wage. Avoid calling the national living wage simply the living wage, as this causes confusion with the living wage advocated by the Living Wage Foundation, which is based on the cost of living and voluntarily paid by some employers. The foundation sometimes refers to this as the real living wage"
national lottery,
National Lottery Heritage Fund,formerly called the  Heritage Lottery Fund
national parks,"lc, eg Peak District national park, Yellowstone national park"
National People’s Congress,China’s national legislature
National Savings and Investments,may be abbreviated to NS&I
national security council (NSC),
national service,peacetime conscription in the UK lasted from 1949 until 1960
