Bold Text,Description
"OAPs, old age pensioners","Do not use: they are pensioners or old people; do not use old or elderly to describe someone under 75 (the editors reserve the right to increase this upper limit, as appropriate)"
obbligato,not obligato
obesity,"the word obese is not banned, but it is preferable to say someone has obesity, or is living with obesity"
Obiang,"Teodoro Obiang Nguema Mbasogo, president of Equatorial Guinea since 1979; Obiang on second mention"
oblast,a generic term for an administrative region in many countries including Russia and Ukraine. Therefore no need to cap it up in names such as Kyiv oblast. As an alternative you can say the Kyiv region
obliged,not “obligated”
"O’Brian, Patrick",author of Master and Commander
obtuse,means “mentally slow or emotionally insensitive” (Collins); often confused with abstruse (hard to understand) or obscure
Occam’s razor,"philosophical principle, attributed to the 14th-century English friar William of Ockham, that broadly means prefer the simplest explanation, adopting the one that makes the fewest assumptions and “shaving away” the rest"
occupied territories,Gaza and the West Bank
occurred,two Rs
Oceania,"a preferable term to Australasia, it is sometimes divided into Near Oceania and Remote Oceania, and comprises, according to the UN:"
Australia/New Zealand,
Melanesia,"(Fiji, New Caledonia, Papua New Guinea, Solomon Islands, Vanuatu)"
Micronesia,"(Guam, Kiribati, Marshall Islands, Federated States of Micronesia, Nauru, Northern Mariana Islands, Palau)"
Polynesia,"(American Samoa, Cook Islands, French Polynesia, Niue, Pitcairn, Samoa, Tokelau, Tonga, Tuvalu, Wallis and Futuna Islands)"
"oceans, seas","capped up, eg Atlantic Ocean, Red Sea"
"octopus, platypus","plural octopuses, platypuses, not the cod Latin octopi, platypi"
Odesa,not Odessa for the port city in Ukraine
Odisha,Indian state formerly known as Orissa
OECD,Organisation for Economic Co-operation and Development at first mention
oedipal complex,the female equivalent is electra complex
Ofcom,Office of Communications – the broadcasting and telecommunications regulator
Offa,"eighth-century king of Mercia, best known for Offa’s Dyke, a giant earthwork that separated the kingdom from Powys"
"offbeat, offhand, offside",
Office for National Statistics,ONS on second mention Office of Fair Trading OFT on second mention
off-licence,
Ofgem,regulates the gas and electricity markets in Britain
Ofsted,"the schools inspectorate in England. Its full name is the Office for Standards in Education, but normally no need to spell that out. The Welsh equivalent is Estyn, the Scottish is Education Scotland and Northern Ireland has the Education and Training Inspectorate"
Ofwat,regulates the water and sewerage industry in England and Wales
Oh not O,"except in phrases of invocation or hymn titles, eg O God, Our Help in Ages Past"
"oilfield, ",
oil painting,
oil production platform,for production of oil
oil rig,for exploration and drilling
oilseed rape,
OK,is OK; okay is not
Old Etonian,
old Labour,but  New Labour
old master,lowercase for paintings as well as ageing schoolteachers
Old Testament,
olé!,needs the accent to stop it reading like “ole”
O-levels,GCE O-levels and CSEs were combined in 1986 to become GCSEs
Olympic Games,"or just  Olympics , or the Games"
omelette,not omelet
omertà,code of silence; note accent
Omicron,note the initial capital for the Covid-19 variant
onboard,"one word: “Once onboard, they got so drunk that the onboard explosion went undetected.”Avoid “aboard” except in the phrase “All aboard!”"
one,"One should find an alternative, preferably  you  (unless one is making fun of one’s royal family).If you do use it, the possessive has an apostrophe: “the ones in the window are one’s favourites”"
