Bold Text,Description
Xbox,
"xenophobe, xenophobia, xenophobic",
Xerox,TM; say photocopy
XFM,"network of three radio stations: XFM London, XFM Manchester, and XFM Scotland"
Xhosa,South African ethnic group and language
Xi’an,city in China where the Terracotta Warriors are located
Xinjiang,"a region of China, not a province"
Xmas,"Christmas is preferable unless you are writing a headline, up against a deadline, and desperate (or quoting Slade’s Merry Xmas Everybody)"
X-ray,
xSPONGEXCOREx,SpongeBob-themed hardcore metal band
